0.2/i("/I7/in" ?result "tran")-100 (interpolated wth step=8e-10) X,0.2/i("/I7/in" ?result "tran")-100 (interpolated wth step=8e-10) Y
7.7e-10,131.7066908761489
1.57e-09,128.7173302524497
2.37e-09,126.4982091785323
3.17e-09,124.3324522072504
3.97e-09,122.4079433416207
4.77e-09,120.327958231886
5.57e-09,118.3402334002031
6.369999999999999e-09,116.3857140488996
7.169999999999999e-09,115.4472639894574
7.97e-09,113.4654719306346
8.77e-09,111.8296431138991
9.570000000000001e-09,110.1232099288192
1.037e-08,108.6524765106874
1.117e-08,106.743933254482
1.197e-08,105.1696456610014
1.277e-08,103.6133812063263
1.357e-08,105.1629819509361
1.437e-08,103.6543355073778
1.517e-08,102.222082848299
1.597e-08,100.3582066492948
1.677e-08,99.58242945593976
1.757e-08,98.25074440869642
1.837000000000001e-08,96.45682328429227
1.917000000000001e-08,95.16802590784533
1.997000000000001e-08,95.03604787114381
2.077000000000001e-08,93.69963362663577
2.157000000000001e-08,92.09474041653026
2.237000000000001e-08,91.54063309457999
2.317000000000001e-08,89.8974099437483
2.397000000000001e-08,88.77639592247107
2.477000000000001e-08,87.7011346487826
2.557000000000001e-08,86.6320589063687
2.637000000000001e-08,92.59815217699625
2.717000000000001e-08,91.4335247548738
2.797000000000001e-08,90.30670787927784
2.877000000000001e-08,89.83643945404526
2.957000000000001e-08,88.87780923216799
3.037000000000001e-08,87.81188010143019
3.117000000000001e-08,86.8071391964767
3.197000000000001e-08,85.0882833084187
3.277000000000001e-08,85.29287089962639
3.357000000000002e-08,83.57444642937483
3.437000000000002e-08,82.62726204646573
3.517000000000002e-08,81.68385431885696
3.597000000000002e-08,80.86501499102201
3.677000000000002e-08,79.96087556730092
3.757000000000002e-08,79.09141644488641
3.837000000000002e-08,78.22476966342583
3.917000000000002e-08,78.94858001485848
3.997000000000002e-08,78.09228392679607
4.077000000000002e-08,77.26558143539076
4.157000000000002e-08,76.4403434595191
4.237000000000002e-08,75.7244956155654
4.317000000000002e-08,74.93136107121749
4.397000000000002e-08,74.16773792547664
4.477000000000002e-08,73.40529377802453
4.557000000000002e-08,73.02159022554332
4.637000000000002e-08,72.28358772568257
4.717000000000002e-08,71.57210112585881
4.797000000000003e-08,70.8642411560465
4.877000000000003e-08,70.23439266376866
4.957000000000003e-08,70.46398222180449
5.037000000000003e-08,68.90651715113121
5.117000000000003e-08,68.24652329801285
5.197000000000003e-08,131.0743568082367
5.277000000000003e-08,128.7854461138472
5.357000000000003e-08,126.5644740012431
5.437000000000003e-08,124.3492872897712
5.517000000000003e-08,122.4132804994001
5.597000000000003e-08,120.3305914328772
5.677000000000003e-08,118.3421846631337
5.757000000000003e-08,116.3875519955063
5.837000000000003e-08,115.4463908016409
5.917000000000003e-08,113.4672374387811
5.997000000000003e-08,111.8287072801321
